No_of_movies,       Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
664,                Aflatoon,1997,153,"Action, Comedy, Crime",,20,Guddu Dhanoa,Akshay Kumar,Urmila Matondkar,Anupam Kher
665,                Aflatoon,1937,,        -------,4.5,1261,Pesi Karani,Khalil,        -------,        -------
666,                Aflatoon,1951,,        -------,,20,Jaswant Jhaveri,Master Bhagwan,        -------,        -------
667,                Aflatoon,1961,,Action,,20,Basu Bhattacharya,Kamran,Krishna Kumari,Heera Sawant
668,                Afra Tafri,2021,,Comedy,,20,Hadi Abrar,Govinda,Sunil Shetty,Gulshan Grover
669,                Africa,1954,,Action,,20,K. Kant,Habib,Krishna Kumari,Baburao Pahelwan
670,                Africa Mein Hind,1939,,        -------,,20,Hiren Bose,        -------,        -------,        -------
671,                Africadalli Sheela,1986,134,"Adventure, Thriller",,20,Deepak Balraj Vij,Anand Balraj,Sahila Chaddha,B.S. Dwarakish
672,                Afsana,1966,134,"Drama, Romance",6.6,18,Brij,Ashok Kumar,Pradeep Kumar,Padmini
673,                Afsana,1951,168,"Drama, Family",6.5,12,B.R. Chopra,Ashok Kumar,Veena,Jeevan
674,                Afsana Dilwalon Ka,2001,195,"Drama, Romance",7.8,57,J. Om Prakash,Aashish Kaul,Juni,Rahul Roy
675,                Afsana Pyar Ka,1991,145,"Drama, Romance",3.6,1025,M.R. Shahjahan,Aamir Khan,Neelam Kothari,Deepak Tijori
676,                Afsar,1950,121,"Comedy, Romance",5.9,783,Chetan Anand,Dev Anand,Suraiya,Ruma Guha Thakurta
677,                After Marriage,2017,,Horror,7.1,19,Kritn Ajitesh,        -------,        -------,        -------
678,                After the Last Lecture,,,Romance,,20,Chetan Singh,Hemwant Tiwari,Yashveer Choudhary,Rahul Sinha
679,                After the Third Bell,2014,92,"Crime, Mystery",,20,Ajay Govind,Udayan Banerjee,Akanksha D. Sharma,Sukhesh Arora
680,                Afzal,1933,,        -------,6.3,43,Mohan Dayaram Bhavnani,Ameena,Abdul Rehman Kabuli,Nissar
681,                Agalvizhakku,1979,,Drama,,20,Selvaraj,        -------,        -------,        -------
682,                Agam,,88,Drama,,20,Sumit Mishra,Tara-Alisha Berry,Rahul Bagga,Ashmith Kunder
683,                Agar Aap Chahein,1992,,Family,,20,Mazahir Rahim,Makrand Deshpande,        -------,        -------
684,                Agar Tum Na Hote,1983,161,"Drama, Family",,20,Lekh Tandon,Rajesh Khanna,Rekha,Raj Babbar
685,                Agar... If,1977,,Drama,6.4,152,Esmayeel Shroff,Amol Palekar,Zarina Wahab,Kader Khan
686,                Agathiyar,1972,153,"Adventure, Comedy, Drama",6.4,27,A.P. Subbaraav,T.S. Balaiah,J.P. Chandrababu,Devagi
687,                Agent 009,1980,,Action,6.6,30,Bharat Kapoor,Padma Khanna,Vijendra Mittal,Rehana Sultan
688,                Agent 123,1983,,Thriller,,20,Geethapriya,Baby Indira,Master Ram Krishna,Manjula
689,                Agent 777,1988,,Action,,20,Satish Khurana,Raja Duggal,Pallavi Joshi,Vicky Kaushik
690,                Agent Vinod,1977,139,"Action, Crime, Drama",,20,Deepak Bahry,Mahendra Sandhu,Asha Sachdev,Iftekhar
691,                Agent Vinod,2012,157,"Action, Adventure, Thriller",5.7,84,Sriram Raghavan,Kareena Kapoor,Saif Ali Khan,Rajat Kapoor
692,                Aggan: The Real Fire,1999,,Thriller,5.2,7210,Kavi Rajesh,        -------,        -------,        -------
693,                Aggar: Passion Betrayal Terror,2007,,"Romance, Thriller",,20,Ananth Narayan Mahadevan,Tusshar Kapoor,Udita Goswami,Shreyas Talpade
694,                Aghaat,1985,138,"Drama, Crime",4,281,Govind Nihalani,Om Puri,Bharat Gopy,Pankaj Kapur
695,                Agla Mausam,1989,,Drama,7.1,120,Sagar Sarhadi,Pankaj Kapur,Supriya Pathak,        -------
696,                Agnee,1988,153,"Action, Drama, Romance",,20,J. Om Prakash,Mithun Chakraborty,Chunky Panday,Amrita Singh
697,                Agnee Morcha,1997,142,Action,5.1,29,Raju Chouhan,Aparajita,Birbal,Dharmendra
698,                Agneekaal,1990,161,"Action, Crime, Drama",3.1,14,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Masum Ali,Sadashiv Amrapurkar
699,                Agneepath,1990,174,"Action, Crime, Drama",5.6,26,Mukul Anand,Amitabh Bachchan,Mithun Chakraborty,Madhavi
700,                Agneepath,2012,174,"Action, Crime, Drama",7.7,8500,Karan Malhotra,Hrithik Roshan,Priyanka Chopra Jonas,Sanjay Dutt
701,                Agni IPS,1997,137,Action,6.9,22895,Anand P. Raju,Saroja Devi B.,Saikumar,Ranjitha
702,                Agni Jwala,2001,,Action,7.8,33,Vijayakanth,Isha Koppikar,Rahul Dev,Ramya Krishnan
703,                Agni Pankh,2004,,"Action, Drama, Romance",,20,Sanjeev Puri,Jimmy Sheirgill,Sameer Dharmadhikari,Rahul Dev
704,                Agni Pareeksha,1981,130,"Crime, Drama",4.5,108,Kamal Majumdar,Amol Palekar,Parikshit Sahni,Rameshwari
705,                Agni Prem,1996,107,Action,6,0,Rukun,Tinnu Anand,Kishore Anand Bhanushali,Birbal
706,                Agni Prem,2003,,Thriller,,20,Chandni Gupta,Junior Shakti Kapoor,Amit Pachori,Aman Sagar
707,                Agni Rekha,1973,,Drama,,20,Mahesh Kaul,Sanjeev Kumar,Sharada,Sajjan
708,                Agni Sakshi,1996,142,"Drama, Musical, Romance",7.3,0,Partho Ghosh,Jackie Shroff,Nana Patekar,Manisha Koirala
709,                Agnichakra,1997,123,Action,6.1,684,Ketan Anand,Amit Suryavanshi,Naseeruddin Shah,Govinda
710,                Agnidaah,1985,,Drama,3.6,53,Ravi Baswani,Neena Gupta,Anupam Kher,Karan Razdan
711,                Agniputra,2000,140,Action,,0,Vijay Reddy,Asrani,Mithun Chakraborty,Pinky Chinoy
712,                Agnivarsha: The Fire and the Rain,2002,126,"Drama, Fantasy, Romance",4.6,24,Arjun Sajnani,Jackie Shroff,Kumar Iyengar,Raveena Tandon
713,                Agra,,,Drama,4.6,361,Kanu Behl,Mohit Agarwal,Priyanka Bose,Vibha Chhibber
714,                Agra Road,1957,,"Comedy, Romance, Thriller",,20,Ravindra Dave,Shakila,Vijay Anand,Nanda
715,                Agreement,1980,124,"Musical, Comedy, Drama",4.8,0,Anil Ganguly,Rekha,Utpal Dutt,Shailendra Singh
716,                Agyaat,2009,130,"Drama, Horror, Mystery",6.2,0,Ram Gopal Varma,Nithiin,Priyanka Kothari,Rasika Dugal
717,                Ahaan,2019,81,"Comedy, Drama",2.9,620,Nikhil Pherwani,Arif Zakaria,Niharika Singh,Abuli Mamaji
718,                Aham Brahmasmi,2021,106,Action,7.2,213,Megastar Maharishi Aazaad,        -------,        -------,        -------
719,                Ahankaar,1995,145,Drama,,0,Ashim S. Samanta,Mithun Chakraborty,Mamta Kulkarni,Prem Chopra
720,                Ahankar,1999,75,        -------,5.9,53,Raja Mitra,Soumitra Chatterjee,Indrani Haldar,Rajesh Sharma
